YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
2016,0.99726776,0,V,N,O,R,2976.0,1,1965.0,9,5177,0
2013,1.0,0,V,V,V,U,4101.0,1,1988.0,4,5177,0
2014,1.0,0,V,N,O,R,800.0,4,1950.0,4,6004,0
2016,0.99726776,0,V,N,O,R,3100.0,4,1981.0,6,6004,0
2016,0.99726776,0,V,N,O,R,320.0,4,1971.0,3,6004,0
2016,0.781420765,0,V,N,O,R,2490.0,4,1972.0,6,6004,1
2016,0.99726776,0,V,N,O,R,1670.0,4,1975.0,5,6004,0
2013,1.0,0,V,V,V,U,900.0,4,1970.0,4,6004,0
2012,1.0,0,V,N,O,R,460.0,4,1940.0,5,6004,0
2016,0.99726776,0,V,N,O,R,3500.0,4,1900.0,4,6004,0
2014,1.0,0,N,V,V,U,14.0,4,1988.0,4,6004,0
2014,0.915068493,0,N,V,V,U,9570.0,4,1970.0,4,6004,0
2012,1.0,0,V,N,O,R,1200.0,4,1997.0,4,6004,0
2013,1.0,0,N,V,V,U,10.0,4,1988.0,4,6004,0
2012,1.0,0,V,N,O,R,570.0,4,1988.0,3,6004,0
2016,0.99726776,0,V,N,O,R,3522.0,4,2003.0,4,6004,0
2013,1.0,0,V,N,O,R,650.0,4,1990.0,4,6007,0
2015,0.98630137,0,V,N,O,R,650.0,4,1990.0,4,6007,0
2013,1.0,1,V,N,O,R,4112.0,4,1965.0,7,6011,1
2014,1.0,0,V,N,O,R,4112.0,4,1960.0,5,6011,0
2016,0.99726776,0,V,N,O,R,1470.0,4,1970.0,6,6011,0
2015,1.0,0,N,V,V,U,600.0,4,1960.0,4,6012,0
2016,0.99726776,0,N,V,V,U,600.0,4,1960.0,4,6012,1
2013,1.0,1,N,V,V,U,380.0,4,1960.0,4,6012,0
2013,0.084931507,0,N,V,V,U,460.0,4,1960.0,4,6012,0
2012,1.0,0,N,V,V,U,5419.0,4,1988.0,4,6012,1
2016,1.0,0,N,V,V,U,5419.0,4,1988.0,4,6012,1
2012,1.0,1,V,N,O,R,2800.0,4,1940.0,8,6012,1
2015,1.0,1,V,N,O,R,2800.0,4,1940.0,8,6012,0
2016,0.99726776,1,V,N,O,R,2800.0,4,1940.0,8,6012,0
2012,1.0,1,V,N,O,R,450.0,4,1920.0,4,6012,0
2014,1.0,1,V,N,O,R,1380.0,4,1960.0,5,6012,0
2012,1.0,0,V,N,O,R,428.0,4,1930.0,4,6012,0
2015,1.0,1,V,N,O,R,1000.0,4,1940.0,6,6012,0
2012,1.0,1,V,N,O,R,1100.0,4,1920.0,7,6012,0
2015,0.161643836,1,V,N,O,R,520.0,4,1973.0,5,6012,0
2013,1.0,1,V,N,O,R,300.0,4,1920.0,3,6012,1
2015,1.0,1,V,N,O,R,300.0,4,1920.0,3,6012,0
2016,1.0,1,V,N,O,R,300.0,4,1920.0,3,6012,0
2012,1.0,1,V,N,O,R,3250.0,4,1991.0,8,6012,1
2013,1.0,1,V,N,O,R,1000.0,4,1974.0,5,6012,0
2012,1.0,1,V,N,O,R,660.0,4,1920.0,5,6012,1
2015,1.0,1,V,N,O,R,300.0,4,1920.0,4,6012,0
2012,1.0,1,V,N,O,R,550.0,4,1930.0,5,6012,0
2014,1.0,1,V,N,O,R,550.0,4,1930.0,5,6012,1
2014,1.0,0,V,N,O,R,1255.0,4,1920.0,5,6012,1
2015,0.997260274,0,V,N,O,R,1255.0,4,1920.0,5,6012,0
2014,1.0,0,V,N,O,R,5610.0,4,1920.0,5,6012,1
2015,0.095890411,1,V,N,O,R,1800.0,4,1965.0,6,6012,0
2016,0.99726776,1,V,N,O,R,1800.0,4,1965.0,6,6012,0
2013,1.0,1,V,N,O,R,500.0,4,1940.0,4,6012,0
2014,1.0,0,N,V,V,U,1500.0,4,1980.0,4,6012,1
2013,1.0,0,V,N,O,R,1850.0,4,1950.0,4,6012,0
2015,1.0,1,N,V,V,U,950.0,4,1960.0,4,6012,1
2012,1.0,1,N,V,V,U,340.0,4,1960.0,4,6012,0
2015,1.0,1,N,V,V,U,340.0,4,1960.0,4,6012,0
2015,0.997260274,0,V,N,O,R,997.0,4,1960.0,4,6012,0
2013,1.0,1,V,N,O,R,3336.0,4,1970.0,5,6014,0
2013,1.0,0,V,N,O,R,3270.0,4,1980.0,7,6014,1
2015,1.0,0,V,N,O,R,3270.0,4,1980.0,7,6014,0
2013,0.665753425,0,N,V,V,U,300.0,4,1960.0,4,6016,0
2012,1.0,1,N,V,V,U,2235.0,4,1960.0,4,6027,0
2012,1.0,0,N,V,V,U,1400.0,4,1980.0,4,6027,0
2015,1.0,1,V,N,O,R,5586.0,4,1978.0,5,6027,0
2016,1.0,1,V,N,O,R,5586.0,4,1978.0,5,6027,0
2014,1.0,0,V,N,O,R,800.0,4,1967.0,4,6027,1
2013,0.893150685,0,N,V,V,U,300.0,4,1960.0,4,6029,0
2013,1.0,0,N,V,V,U,4310.0,4,1970.0,4,6029,1
2012,1.0,0,N,V,V,U,2160.0,4,1980.0,4,6029,1
2015,1.0,0,V,N,O,R,650.0,4,1960.0,3,6029,1
2012,1.0,0,V,N,O,R,210.0,4,1927.0,2,6029,0
2012,1.0,0,V,N,O,R,7063.0,4,1952.0,7,6029,1
2013,1.0,0,V,N,O,R,1696.0,4,2007.0,5,6029,0
2015,1.0,0,V,N,O,R,740.0,4,1940.0,4,6029,0
2016,0.024590164,1,V,N,O,R,3300.0,4,1957.0,2,6029,0
2013,1.0,0,V,N,O,R,350.0,4,1960.0,4,6029,0
2012,1.0,1,V,V,V,U,400.0,4,1980.0,4,6029,0
2014,0.0,0,V,V,V,U,1000.0,4,1970.0,4,6029,1
2015,0.893150685,0,V,V,V,U,162.0,4,1970.0,4,6029,0
2014,1.0,0,N,V,V,U,320.0,4,1960.0,4,6029,0
2016,0.99726776,0,N,V,V,U,320.0,4,1960.0,4,6029,0
2015,0.580821918,1,V,V,V,U,18000.0,4,1980.0,4,6029,1
2012,1.0,0,V,V,V,U,1225.0,4,1960.0,4,6029,1
2015,1.0,0,N,V,V,U,400.0,4,1960.0,4,6030,0
2013,0.832876712,0,N,V,V,U,270.0,4,1980.0,4,6030,0
2012,1.0,0,V,N,O,R,740.0,4,1970.0,4,6030,0
2012,1.0,0,V,N,O,R,1150.0,4,1978.0,3,6030,0
2015,1.0,0,V,N,O,R,4200.0,4,1988.0,4,6030,1
2015,0.260273973,0,V,N,O,R,100.0,4,1800.0,3,6030,0
2013,0.747945205,1,N,V,V,U,900.0,4,1988.0,4,6030,0
2012,1.0,1,N,V,V,U,9920.0,4,1980.0,4,6030,1
2015,1.0,0,V,V,V,U,2625.0,4,1980.0,4,6030,0
2013,1.0,0,V,N,O,R,5350.0,4,2007.0,7,6032,0
2014,0.915068493,1,V,V,V,U,270.0,4,1960.0,4,6032,0
2012,1.0,0,N,V,V,U,3406.0,4,1988.0,4,6032,0
2012,1.0,0,V,N,O,R,3700.0,4,1985.0,7,6032,1
2015,1.0,0,V,N,O,R,3700.0,4,1985.0,7,6032,1
2012,0.418032787,0,V,N,O,R,3369.0,4,2009.0,3,6032,0
2013,1.0,0,V,N,O,R,3369.0,4,2009.0,3,6032,1
2014,1.0,0,V,N,O,R,3369.0,4,2009.0,3,6032,1
2013,0.104109589,0,V,V,V,U,4846.0,4,1980.0,4,6032,0
2014,1.0,0,V,V,V,U,7887.0,4,1980.0,4,6032,1
2013,1.0,0,V,V,V,U,1300.0,4,1980.0,4,6032,1
2014,0.769863014,0,V,V,V,U,1300.0,4,1980.0,4,6032,0
2013,1.0,1,V,N,O,R,4000.0,4,1980.0,4,6033,1
2014,1.0,1,V,N,O,R,4000.0,4,1980.0,4,6033,0
2013,1.0,0,V,N,O,R,171.0,4,1930.0,3,6035,1
2015,1.0,0,V,N,O,R,171.0,4,1930.0,3,6035,0
2013,1.0,0,V,N,O,R,570.0,4,1960.0,2,6036,0
2014,1.0,0,N,V,V,U,65.0,4,1960.0,4,6036,0
2016,0.99726776,0,V,N,O,R,367.0,4,1985.0,4,6044,0
2013,1.0,1,N,V,V,U,200.0,4,1960.0,4,6048,1
2012,1.0,1,N,V,V,U,400.0,4,1960.0,4,6057,1
2013,1.0,0,N,V,V,U,400.0,4,1980.0,4,6067,0
2016,1.0,0,N,V,V,U,400.0,4,1980.0,4,6067,0
2012,1.0,0,V,N,O,R,400.0,4,1940.0,4,6069,0
2016,1.0,0,V,N,O,R,400.0,4,1940.0,4,6069,0
2012,1.0,0,V,N,O,R,400.0,4,1920.0,4,6069,0
2014,1.0,0,V,N,O,R,6300.0,4,1977.0,5,6069,1
2012,1.0,0,V,N,O,R,250.0,4,1890.0,5,6069,0
2014,1.0,0,V,N,O,R,750.0,4,1900.0,3,6069,0
2013,0.024657534,0,V,V,V,U,400.0,4,1960.0,4,6069,0
2015,1.0,0,V,N,O,R,660.0,4,1949.0,5,6069,1
2013,1.0,0,V,N,O,R,1100.0,4,1978.0,3,6069,0
2013,1.0,0,V,N,O,R,530.0,4,1949.0,6,6069,0
2012,1.0,0,V,N,O,R,3269.0,4,1975.0,4,6070,0
2014,1.0,0,V,N,O,R,3269.0,4,1975.0,4,6070,1
2015,1.0,0,V,N,O,R,3269.0,4,1975.0,4,6070,0
2013,0.0,0,N,V,V,U,300.0,4,1970.0,4,6073,0
2013,1.0,0,V,N,O,R,640.0,4,1951.0,4,6077,0
2015,1.0,0,N,V,V,U,530.0,4,1980.0,4,6079,0
2013,1.0,0,V,N,O,R,450.0,4,1960.0,3,6079,0
2013,1.0,0,V,N,O,R,3800.0,4,1960.0,7,6079,0
2014,0.476712329,1,V,N,O,R,1140.0,4,1988.0,3,6079,1
2013,1.0,0,V,N,O,R,400.0,4,1960.0,5,6083,0
2012,1.0,0,N,V,V,U,130.0,4,1960.0,4,6083,0
2012,1.0,0,N,V,V,U,243.0,4,1960.0,4,6083,0
2013,0.865753425,0,N,V,V,U,243.0,4,1960.0,4,6083,0
2012,1.0,1,V,V,V,U,2106.0,4,1980.0,4,6083,1
2013,1.0,1,N,V,V,U,1842.0,4,1988.0,4,6083,0
2012,0.554644809,1,V,V,V,U,2713.0,4,1980.0,4,6083,0
2015,1.0,0,V,N,O,R,500.0,4,1950.0,5,6083,0
2012,1.0,0,N,V,V,U,614.0,4,1980.0,4,6083,0
2014,1.0,0,V,N,O,R,1370.0,4,2008.0,5,6083,0
2015,1.0,0,V,N,O,R,1370.0,4,2008.0,5,6083,0
2015,1.0,0,N,V,V,U,430.0,4,1960.0,4,6083,0
2014,1.0,0,N,V,V,U,1563.0,4,1980.0,4,6083,0
2013,1.0,0,N,V,V,U,250.0,4,1960.0,4,6083,0
2013,0.832876712,0,N,V,V,U,1350.0,4,1980.0,4,6083,0
2014,1.0,0,N,V,V,U,480.0,4,1960.0,4,6083,0
2015,1.0,0,N,V,V,U,480.0,4,1960.0,4,6083,0
2014,1.0,0,N,V,V,U,1600.0,4,1960.0,4,6083,0
2014,1.0,0,N,V,V,U,5800.0,4,1988.0,4,6083,1
2016,0.99726776,0,V,N,O,R,1000.0,4,1972.0,6,6083,0
2015,0.084931507,0,V,N,O,R,2000.0,4,1972.0,6,6083,0
2016,0.99726776,0,V,N,O,R,2880.0,4,1970.0,8,6083,1
2015,1.0,0,V,N,O,R,3343.0,4,1970.0,7,6083,0
2014,1.0,0,V,N,O,R,10573.0,4,1972.0,9,6083,0
2013,1.0,1,V,V,V,U,1853.0,4,1988.0,4,6083,0
2016,0.163934426,1,V,N,O,R,5939.0,4,1987.0,6,6083,0
2016,1.0,0,V,N,O,R,518.0,4,2010.0,4,6083,1
2015,1.0,0,V,N,O,R,3120.0,4,2000.0,4,6083,0
2016,1.0,0,V,N,O,R,3120.0,4,2000.0,4,6083,1
2014,1.0,0,V,N,O,R,450.0,4,1920.0,6,6083,0
2014,1.0,0,V,N,O,R,12900.0,4,1970.0,5,6083,0
2016,1.0,0,V,N,O,R,12900.0,4,1970.0,5,6083,1
2015,1.0,0,V,N,O,R,450.0,4,1960.0,3,6083,0
2012,1.0,0,V,N,O,R,1300.0,4,1960.0,5,6083,1
2012,1.0,0,V,N,O,R,254.0,4,1900.0,3,6083,1
2013,1.0,0,V,N,O,R,1050.0,4,1960.0,4,6083,0
2013,1.0,0,V,N,O,R,4500.0,4,2011.0,7,6083,0
2014,1.0,0,V,N,O,R,700.0,4,1960.0,3,6083,1
2012,0.448087432,1,V,N,O,R,2712.0,4,1970.0,6,6083,0
2015,1.0,1,V,N,O,R,2712.0,4,1970.0,6,6083,0
2013,1.0,0,V,N,O,R,300.0,4,1920.0,3,6083,0
2012,0.50273224,1,V,N,O,R,1120.0,4,2007.0,1,6083,0
2014,1.0,0,V,N,O,R,5598.0,4,1980.0,5,6083,1
2016,0.99726776,0,V,N,O,R,4500.0,4,1980.0,5,6083,1
2016,0.75136612,1,V,N,O,R,2659.0,4,1962.0,6,6083,0
2016,0.50273224,1,V,N,O,R,450.0,4,1900.0,2,6083,0
2016,0.081967213,1,V,N,O,R,300.0,4,1900.0,3,6083,0
2012,1.0,0,V,N,O,R,500.0,4,1930.0,4,6083,0
2016,0.99726776,0,V,V,V,U,1619.0,4,1980.0,4,6083,0
2012,1.0,0,V,V,V,U,826.0,4,1980.0,4,6083,1
2016,0.99726776,0,V,V,V,U,826.0,4,1980.0,4,6083,0
2014,1.0,0,V,V,V,U,1365.0,4,1960.0,4,6083,0
2012,1.0,0,V,N,O,R,184.0,4,1960.0,4,6083,0
2014,1.0,0,V,N,O,R,970.0,4,1950.0,4,6083,0
2015,1.0,0,V,V,V,U,686.0,4,1960.0,4,6083,0
2014,1.0,0,V,N,O,R,900.0,4,1956.0,5,6083,0
2013,1.0,0,V,N,O,R,3508.0,4,1975.0,7,6083,1
2012,1.0,0,V,V,V,U,2900.0,4,1960.0,4,6083,1
2013,1.0,0,V,V,V,U,2900.0,4,1960.0,4,6083,1
2016,0.99726776,0,V,V,V,U,6984.0,4,1980.0,4,6083,0
2013,1.0,0,V,N,O,R,2034.0,4,1970.0,7,6083,0
2014,1.0,0,N,V,V,U,7223.0,4,1980.0,4,6083,0
2015,1.0,0,V,V,V,U,9400.0,4,1960.0,4,6083,1
2014,1.0,0,V,V,V,U,4286.0,4,1960.0,4,6083,1
2012,1.0,0,V,V,V,U,1700.0,4,1960.0,4,6083,0
2015,1.0,0,V,V,V,U,1500.0,4,1980.0,4,6083,1
2014,1.0,0,V,N,O,R,8400.0,4,1980.0,8,6083,1
2013,1.0,0,N,V,V,U,300.0,4,1980.0,4,6083,0
2012,1.0,0,V,V,V,U,4176.0,4,1988.0,4,6083,0
2013,1.0,0,V,V,V,U,4176.0,4,1988.0,4,6083,0
2013,1.0,0,V,N,O,R,3400.0,4,1960.0,6,6083,1
2013,0.997260274,0,V,N,O,R,500.0,4,1960.0,4,6083,1
2016,1.0,0,V,N,O,R,500.0,4,1960.0,4,6083,0
2013,1.0,0,V,N,O,R,3501.0,4,1980.0,5,6083,0
2013,1.0,1,V,V,V,U,1325.0,4,1980.0,4,6083,0
2014,1.0,1,V,V,V,U,1325.0,4,1980.0,4,6083,1
2015,1.0,0,V,N,O,R,9500.0,4,1993.0,5,6083,1
2013,1.0,0,V,V,V,U,20.0,4,1988.0,4,6083,0
2015,1.0,0,V,V,V,U,20.0,4,1988.0,4,6083,0
2016,1.0,0,V,N,O,R,441.0,4,1960.0,4,6083,0
2012,1.0,0,V,N,O,R,1137.0,4,1960.0,5,6083,1
2015,1.0,1,N,V,V,U,250.0,4,1960.0,4,6083,0
2014,1.0,1,N,V,V,U,418.0,4,1960.0,4,6083,0
2016,1.0,0,N,V,V,U,860.0,4,1980.0,4,6083,0
2015,0.468493151,0,N,V,V,U,500.0,4,1960.0,4,6083,0
2014,0.797260274,0,V,V,V,U,3873.0,4,1988.0,4,6083,0
2012,1.0,0,V,N,O,R,3708.0,4,1970.0,7,6083,0
2013,1.0,0,V,N,O,R,700.0,4,1975.0,5,6083,1
2013,1.0,0,V,V,V,U,7300.0,4,1980.0,4,6083,1
2015,1.0,1,N,V,V,U,1080.0,4,1960.0,4,6083,0
2015,1.0,0,V,N,O,R,1446.0,4,1950.0,4,6083,1
2014,1.0,1,N,V,V,U,357.0,4,1960.0,4,6083,0
2016,1.0,0,V,N,O,R,2230.0,4,1960.0,5,6083,0
2016,1.0,0,V,N,O,R,1500.0,4,1900.0,5,6083,0
2013,1.0,0,V,V,V,U,4700.0,4,1980.0,4,6083,1
2014,1.0,0,V,N,O,R,3757.0,4,1960.0,4,6083,1
2014,1.0,0,V,V,V,U,3043.0,4,1980.0,4,6083,0
2016,0.99726776,0,N,V,V,U,317.0,4,1980.0,4,6083,0
2012,1.0,1,N,V,V,U,1702.0,4,1960.0,4,6083,0
2012,1.0,0,V,V,V,U,860.0,4,1980.0,4,6083,1
2012,1.0,0,N,V,V,U,400.0,4,1980.0,4,6083,0
2013,0.315068493,0,V,N,O,R,3450.0,4,2003.0,7,6083,0
2013,1.0,0,V,V,V,U,3510.0,4,1980.0,4,6083,1
2012,1.0,0,V,V,V,U,1565.0,4,1960.0,4,6083,0
2012,1.0,0,V,N,O,R,4300.0,4,1940.0,6,6083,1
2016,0.99726776,0,V,N,O,R,4300.0,4,1940.0,6,6083,0
2014,1.0,0,V,N,O,R,6650.0,4,1912.0,8,6083,1
2015,1.0,0,V,N,O,R,6650.0,4,1912.0,8,6083,1
2015,1.0,1,N,V,V,U,1500.0,4,1960.0,4,6083,0
2016,0.99726776,0,V,N,O,R,2857.0,4,1950.0,7,6083,1
2013,1.0,0,V,V,V,U,1178.0,4,1980.0,4,6083,0
2013,1.0,0,N,V,V,U,5785.0,4,1980.0,4,6083,1
2014,1.0,0,V,V,V,U,260.0,4,1980.0,4,6083,0
2012,1.0,0,V,V,V,U,60.0,4,1988.0,4,6084,0
2014,1.0,0,V,N,O,R,400.0,4,1983.0,3,6085,0
2013,1.0,1,N,V,V,U,279.0,4,1980.0,4,6088,0
2013,0.594520548,1,N,V,V,U,1196.0,4,1980.0,4,6088,0
2012,1.0,1,N,V,V,U,670.0,4,1980.0,4,6088,1
2014,1.0,0,V,N,O,R,1984.0,4,1954.0,7,6088,1
2014,1.0,1,N,V,V,U,450.0,4,1960.0,4,6088,0
2012,1.0,0,N,V,V,U,234.0,4,1960.0,4,6088,0
2012,1.0,1,V,N,O,R,4400.0,4,1965.0,6,6088,1
2013,1.0,1,V,N,O,R,4400.0,4,1965.0,6,6088,1
2014,1.0,1,V,N,O,R,412.0,4,1960.0,3,6088,0
2015,1.0,1,V,N,O,R,412.0,4,1960.0,3,6088,0
2014,1.0,0,N,V,V,U,600.0,4,1980.0,4,6088,0
2012,1.0,0,V,N,O,R,1980.0,4,1960.0,4,6088,1
2014,1.0,0,N,V,V,U,870.0,4,1960.0,4,6088,0
2012,1.0,0,V,N,O,R,2100.0,4,1968.0,5,6088,1
2013,1.0,0,V,N,O,R,12721.0,4,1960.0,8,6088,1
2015,1.0,0,V,N,O,R,12721.0,4,1960.0,8,6088,1
2016,0.99726776,0,V,N,O,R,12721.0,4,1960.0,8,6088,0
2012,1.0,1,N,V,V,U,1260.0,4,1980.0,4,6088,0
2012,1.0,1,V,N,O,R,520.0,4,1960.0,3,6088,1
2012,0.74863388,0,N,V,V,U,1930.0,4,1960.0,4,6088,0
2016,0.99726776,0,N,V,V,U,3070.0,4,1980.0,4,6088,1
2012,1.0,0,N,V,V,U,4600.0,4,1960.0,4,6088,1
2013,0.0,0,N,V,V,U,4600.0,4,1960.0,4,6088,0
2016,0.99726776,1,N,V,V,U,1000.0,4,1980.0,4,6088,1
2013,0.175342466,0,N,V,V,U,3500.0,4,1988.0,4,6088,0
2012,1.0,1,V,N,O,R,2205.0,4,1990.0,7,6088,1
2014,0.161643836,1,V,N,O,R,1000.0,4,1900.0,3,6088,0
2013,1.0,1,V,N,O,R,2110.0,4,2004.0,7,6088,0
2014,1.0,1,V,N,O,R,2110.0,4,2004.0,7,6088,0
2015,1.0,1,V,N,O,R,2110.0,4,2004.0,7,6088,1
2013,1.0,1,V,N,O,R,1630.0,4,1970.0,5,6088,0
2013,1.0,1,V,N,O,R,1628.0,4,1954.0,5,6088,1
2014,0.117808219,1,V,N,O,R,1350.0,4,1960.0,6,6088,0
2014,1.0,0,V,N,O,R,332.0,4,1900.0,4,6088,0
2016,1.0,0,V,N,O,R,332.0,4,1900.0,4,6088,1
2016,1.0,1,V,N,O,R,1825.0,4,1936.0,7,6088,0
